pitch,intensity,jitter,shimmer,logHNR,vad,time,task
,,,,,0.0,0.05,1
,,,,,0.0,0.06,1
,,,,,0.0,0.07,1
,,,,,0.0,0.08,1
,,,,,0.0,0.09,1
,,,,,0.0,0.1,1
,,,,,0.0,0.11,1
,,,,,0.0,0.12,1
,,,,,0.0,0.13,1
,,,,,0.0,0.14,1
,,,,,0.0,0.15,1
,,,,,0.0,0.16,1
,,,,,0.0,0.17,1
,,,,,0.0,0.18,1
,,,,,0.0,0.19,1
,,,,,0.0,0.2,1
,,,,,0.0,0.21,1
,,,,,0.0,0.22,1
,,,,,0.0,0.23,1
,,,,,0.0,0.24,1
,,,,,0.0,0.25,1
,,,,,0.0,0.26,1
,,,,,0.0,0.27,1
,,,,,0.0,0.28,1
,,,,,0.0,0.29,1
,,,,,0.0,0.3,1
,,,,,0.0,0.31,1
,,,,,0.0,0.32,1
,,,,,0.0,0.33,1
,,,,,0.0,0.34,1
,,,,,0.0,0.35,1
,,,,,0.0,0.36,1
,,,,,0.0,0.37,1
,,,,,0.0,0.38,1
,,,,,0.0,0.39,1
,,,,,0.0,0.4,1
216.0413,4.341289e-07,0.06979418,0.1864966,16.62434,1.0,0.41,1
205.7045,4.832658e-07,0.08735429,0.1023767,19.79516,1.0,0.42,1
202.2256,5.04248e-07,0.006176225,0.09543081,21.75957,1.0,0.43,1
201.1497,2.467134e-07,0.01498886,0.1971831,20.36863,1.0,0.44,1
199.9275,2.237415e-07,0.00390726,0.02561393,26.15775,1.0,0.45,1
197.7163,2.134727e-07,0.0004444762,0.02472437,28.15779,1.0,0.46,1
195.8457,1.466222e-07,0.02004729,0.02707926,15.35773,1.0,0.47,1
195.2655,4.66968e-07,0.02380592,0.2175823,12.63307,1.0,0.48,1
195.6391,1.807783e-06,0.01938857,0.1544056,14.73269,1.0,0.49,1
195.0837,3.174364e-06,0.01972363,0.1151247,13.18611,1.0,0.5,1
193.2221,3.66245e-06,0.01404868,0.02770974,18.8653,1.0,0.51,1
191.3409,2.26065e-06,0.01441593,0.1092347,15.9184,1.0,0.52,1
190.1198,8.864154e-07,0.01103079,0.08340919,15.29088,1.0,0.53,1
189.4245,2.767989e-08,0.00302533,0.02400923,15.88511,1.0,0.54,1
188.2347,9.314323e-07,0.004600259,0.06545919,19.8909,1.0,0.55,1
187.6114,9.265777e-07,0.004600259,0.06545919,15.98277,1.0,0.56,1
187.7331,1.078888e-06,0.050577,0.1330698,10.27238,1.0,0.57,1
188.7644,1.830203e-07,0.0552405,0.0487805,20.76953,1.0,0.58,1
189.549,1.959215e-06,0.008792314,0.02477571,26.56591,1.0,0.59,1
188.7177,2.339e-06,0.002419013,0.02012165,12.20218,1.0,0.6,1
187.497,2.333346e-06,0.02204908,0.01775325,10.74283,1.0,0.61,1
186.2001,6.259984e-07,0.02204908,0.01775325,15.2281,1.0,0.62,1
185.9026,1.318559e-07,0.02204908,0.01775325,17.8344,1.0,0.63,1
185.5558,6.394561e-07,0.001855888,0.01406408,15.12232,1.0,0.64,1
184.6466,6.248616e-07,0.004138404,0.07178654,14.49861,1.0,0.65,1
182.0736,7.257297e-07,0.01910054,0.1753869,17.3425,1.0,0.66,1
180.5901,2.404294e-07,0.01910054,0.1753869,9.217305,1.0,0.67,1
0.0,2.259172e-07,0.0,0.0,-100.0,1.0,0.68,1
0.0,9.784691e-08,0.0,0.0,-100.0,1.0,0.69,1
0.0,7.066253e-08,0.0,0.0,-100.0,1.0,0.7,1
0.0,1.819539e-08,0.0,0.0,-100.0,1.0,0.71,1
0.0,7.101078e-09,0.0,0.0,-100.0,1.0,0.72,1
0.0,7.743133e-10,0.0,0.0,-100.0,1.0,0.73,1
0.0,8.8196e-10,0.0,0.0,-100.0,1.0,0.74,1
0.0,1.682903e-10,0.0,0.0,-100.0,1.0,0.75,1
0.0,1.599878e-10,0.0,0.0,-100.0,1.0,0.76,1
0.0,1.015903e-09,0.0,0.0,-100.0,1.0,0.77,1
0.0,1.094233e-08,0.0,0.0,-100.0,1.0,0.78,1
0.0,1.136762e-08,0.0,0.0,-100.0,1.0,0.79,1
214.6142,1.416155e-08,0.0,0.0,13.99067,1.0,0.8,1
215.0977,3.315447e-07,0.0,0.0,13.34745,1.0,0.81,1
215.4854,3.555906e-07,0.0,0.01950808,12.96848,1.0,0.82,1
214.494,5.658321e-07,0.009559832,0.007616715,18.6862,1.0,0.83,1
211.7013,4.906187e-07,0.009559832,0.007616715,19.45082,1.0,0.84,1
207.4113,5.146288e-07,0.03078998,0.06832757,15.57096,1.0,0.85,1
204.9295,4.426593e-07,0.0228023,0.24732,11.00874,1.0,0.86,1
0.0,2.072426e-07,0.0,0.0,-100.0,1.0,0.87,1
0.0,1.608573e-07,0.0,0.0,-100.0,1.0,0.88,1
